polarity,tweet
0,"after the 1000. time watching...still don't really like the 5th Harry Potter movie  sad actually, i love the book though"
0,"is totally wondering if the real vanessa hudgens is the one in my 'following' glory...  if it's not, that sux..."
0,Time to gett the dog from the wett what a shity day 
0,Oh scheisse... Ashley simpson is going to be on Melrose Place? Just when i was content with ignoring her existance &amp
0,Yuck this is the earliest Ive been up in awhile and its NOT fun 
0,"@SonnyShear I love them too. Husband, not so much. Therefore, no chimes for me "
0,i'm stiilll really bored 
0,can't find any friends here 
0,hates replaying that night in my head!!!! can't i just be happy now...?  I love you little brother... &lt
0,@NathanaelB awww no fair! i is a big girl but not a big boy!  you will be sorry when i bite u on bum! then u see who is big playa
0,Fuck you Channel 7 and iQ for the damn show running over time and me not getting to see the reunions 
0,Waking up is probably the worst part of my day 
0,I was just mean on the internet. Somebody spank me. 
0,Feeling really crappy about an overdue assignment.  Completely mucked up another assignment and left this one too late.
0,... im not worthless 
0,@wordridden I know! I went and stood on the balcony but it had already moved a few houses further up 
0,@stephenfry enjoy wandering around. I wish I could join you. Or at least be in London 
0,WTF!?!?!? WHY is it snowing in April!?!?!?!?!?!?!?! Makes school THAT much crapier 
0,was offered ï¿½30 for my old car  Am going to keep trying see if I can get a bit more.. she has cupcakes on for goodness sake!
0,@khali_blache no riches?  Boo. I shall be posting the speshul item to you tomorrow...
0,"@raspberry I am trying only to spend if I have paypal funds, which I don't right now.  Plus cat might need to go the vet again this week."
0,@s13_eisbaer your face is a D90. 
0,"*sigh* another day, another pile of exciting research to trawl through... More of this tomorrow too "
0,Argh! Sounds like someone is standing at my door with a chainsaw. No sleep for me this morning.  I'm very grumpy now!
0,just after waking up.. Im tired 
0,@shubox damn. neither are on there 
0,"feelin sick.  can't slow down though...school, other school, rehearsal, tennis match, rehearsal again."
0,@ChloeChloe i completely forgot about the exams.. i really cant be bothered to revise.  *PERUface*
0,"Hello all, slow getting going today ... I just feel like curling up with my book for the rest of the day ... "
0,@finalcontext  Luckily I'm on holiday at the mo! But it's still all work  What is it you do ?
0,"couldn't sleep, up all night, i will regret this when i get home from work "
0,I've given up and am going to the doctor...being sick 3 times in one month is rather annoying 
0,work is so boring without my ipod 
0,"doesn't understand Ohio weather... it's APRIL!...i have to run a track meet in shorts and a tank top tonight, this is gonna be great!. "
0,Eurrrghhhh!!!!  Not a fan of Lapsang Souching.  Tastes like smoking 
0,Trying hard to resist eating the kids' Easter Eggs  
0,man i shouldn't have put cheese on that crab salad sandwich... 
0,feeling down today 
0,@paul_a_smith Well done - if u get that MP4 version pls can you make it available as a download somewhere - some of us didnt get to c it 
0,Fuck fuck fuck fuck fuck fuck fuck I got the job that I didn't want and I have to take it 
0,Went to HPFZ and page came up saying the domain has expired.. I'm..freaking out right now. 
0,@RobynBobbin You could have been me for today. Work was absolutely bloody terrible. I was ready to call it quits.. 
0,@gjarnling woops! you did get it and replied!! I am having a dumb day i guess  x
0,a level maths is too hard  i need help
0,Sick in bed. Googled 'snot'. Still don't understand why it's decided to take up April lodgings in my skull. 
0,I thought i'd managed to dodge the cold going around work but woke up this morning feeling like i'd swallowed a cheese grater 
0,says everything still hurts.  http://plurk.com/p/n19ve
0,wow - great day - SUN SUN SUN but have to work now 
0,is really really missing him... 
0,I thought @twooting would be all about Twitter in Tooting.  I'm disappointed.  
0,@DanceofLife hiya which slides do you mean? Your contact photo in B/W? Had minor crisis too and had to replace all contacts so no photos 
0,My groat feels like it's getting sore 
0,@cjoneill hurrah! @gutters gave the coffee a miss today ... he was regreting that decisioin by mid-morning - no sleep for new dads 
0,"@schizdazzle actually it done it all its self. it jumped off my lap, I did try to stop it "
0,School...  but at least theres only 2 more days till break!
0,@sabret00the uh uh... poor Paul.  ...hows the weather in good ole LDN town? Heading ur way on friday.
0,@kyelko lol I bet. don't want to go to work  xx
0,@TownHallSteps1 Maybe if you did an AA Show 
0,@stevengsaunders I miss Taco Bell toooooo.  There should be WAY more Taco Bell franchises. 
0,"@miss_leesa Me, too. *sigh*   We need to move somewhere cold... in the country... &amp; become florists... with a good bookstore nearby..."
0,ewwww presentation 
0,this weather seriously impeded my shoe choice today 
0,Bored  I think i may watch the dark knight.
0,off work yay Im so tired 
0,@lizzy1e Just out of interest how much RAM does that laptop have? Vista is very memory hungry... 
0,Bbutton ring fell off  needa replace one asap: Bbutton ring fell off  needa replace one asap
0,@katieparsons  maybe it's a sign to listen to Snot!? LOVE YA. x
0,This is a bad time to be hooked on Twilight..........11 assignments due by May 29th 
0,I lost my voice.  if anyone finds it please let me know.
0,in super taco. I have to walk to school.  and im testing today! DX
0,@mileycyrus how come you never reply to me? 
0,just a little more sleep please 
0,@Reivanna sorry to hear it Reivanna  chronic ones I assume?
0,My first TimTam in over a year has gone down verrrrry well. I miss Australia 
0,"Getting ready to head out, doing my cousins hair for her and then the dentist ugh to have yet another tooth yanked out  lord help me lol"
0,MY FLAT IRON MELTED MY GLASSES 
0,"just found out I got ripped off by a fraudster bookseller in the US..signed 1st ed John Irving novel, my arse "
0,to tell you something? hmm 
0,had a long re-charging sleep last nite but wif nightmares  | one last night in medan.....
0,"@marcofrissen Pine with IMAP is slow with gmail, and the inbox gets closed from time to time, big hassle "
0,Going to school and enjoying my last day as a 16 year old  but  too
0,"@KevAnthony let me give you a hug, its cold here too "
0,@petrilude I'm so worried about it!! No Robert Englund...how can it be any good?? I loved that movie 
0,#dreams Had to speak at night honoring michelle obama as fashion icon. Did so wearing her clothes. Got pee on them while changing. 
0,"g'mornin all...dont wanna go into work 2day, I think i might still be sick, which isn't pretty after last week  BTW END THE FED HR1207!"
0,"@Tarale yeah, internet is shaped here too. and i can't do ANYTHING "
0,@MarthaStewart I wish I had a tech guy. 
0,cannot unlock espresso 
0,is not feeling to good 2day 
0,@annelynnn i know 
0,This is a bad time to be hooked on Twilight..........11 assignments due by May 29th 
0,"@craftjuice thank you. Since I can only use the url once, I won't be able to add individual items  "
0,"@wiredvijay At work, and actually working close with Ugam (India) or the moment. Bad news is they are about tolay off 30 people here "
0,"@tangledtara I'm actually salivating! NEED SWEETIES, chubb says no "
0,is going to curl up with a cup of tea and a book and hope she feels better soon 
0,huh? I thought Hells Kitchen was a Ramsay thing. Who's this nobody guy? Get Ramsay back. 
0,"So U may all ask wht is going on over in the VT camp. Well as Chucko is away skiing god knows whr. Myself, jack &amp; mike R left behind "
0,"@edibow No it wasnt a super hero it was slimer from goast busters, i have it too "
0,"@bradiewebbstack :O socks and showers? they dont mix, trusst me. they get wet and you cant wear them anymoreee  its miserable"
0,@vamp_queen awwww 
0,@amiefoley Yeah 
0,@jaybranch Oh thats great 
0,@sage_rules I wish it were that easy bro.  I am srsly down over this.  I couldn't even finish my yummy oatmeal today 
0,one word to sum up today-  oh wow its not even a bloody word.
0,@asheshwor How? I donot understand 
0,"Just going to go for a review of the GadgetShows top 5 freeware might get some of them,despite the fact half of them are poor "
0,"Good morning fellow tweets, there is allot of spamers on here.    but thats ok, I'll just get rid of them."
0,"@CathySavels oh, no  I've been there as well... the brother of one of mine, but I still see him sometimes around where I live "
0,@_EmilyYoung 
0,"Really cold and miserable morning. Didn't get a workout in last night or this morning, this sucks "
0,@MarieMoM Today is the last day and if I go I will just get a zero anyway because Im just not prepared at all 
0,@Abmac88 I hope that Motte's performance is not an indication of what is to come. 
0,Watched a movie... feeling sleepy but know that when i actually get up from the lounge and move to bed I'll be wide awake 
0,@andycub my current contract will be up before then - damn 
0,i just finished sharis birthday present !! since today morning i have headache  i think i should drink more......
0,Wonderful weather in Rochester this morning  - http://twitpic.com/2y9o1
0,i'm appreciative of these few minutes of safety and freedom of thought. better go back into the fray 
0,worst day at school 2day i hate Ellen and Jaime there soo horrible 
0,"@arepeejee  (but thanks for the retweet despite your despair) if i buy you a box of jaffa cakes, would that go someway to making amends?"
0,has a really bad cold 
0,@SunOC hahaha..she didn't.. computer said no  Vodafonething didn't work bc i dont remember my password.. STUPID!
0,Yess the sun is finally out  ! NOO i gotta go to work 
0,@witchescupboard Yes unfortunately.. Just a lot of the stress I've been dealing with lately.. 
0,"My baby brought me a present today, a dismembered mouse... "
0,"@mrmackenzie I tried to tweet you about how annoying LS was when I just installed trial, but it wouldn't let me. Uninstalled. "
0,Stupid schoool. Dnt wanna gooooo.  rah. Less than 3 more monthsssss. and3 more days till spreeng brake!   x__x
0,Thievery Corporation  lemondta a turnï¿½jï¿½t 
0,@VicThompson oh no  tummy bug? hope u get better soon xx think she is only back briefly then off to nam..have text but no reply yet xx
0,giving it up... no one's here 
0,At work.....and its snowing 
0,is chilling going to get ready for work inabit tho 
0,@johnpaulfletch I know!! Weathers supposed to be crap though 
0,one more week till pay day  wheres my stimulus package mr rudd??
0,"Yay! Back home early, but the sods will no doubt make me work from home "
0,off to class... 
0,#dreams Had discussion about unitarians with a libertarian while sitting in a gigantic anthill. He loved jesus too much to be civil.  
0,How hard is it to find a picture of a white van in a scenic area  Very it seems.
0,great day to stay in bed...can't sleep 
0,@silkywoven Sadly that's true! Football is definitely better than cricket 
0,@Rocmoney ha! I've been planning my &quot
0,has got an upset stomach 
0,Just found out an outbuilding at one of my other houses has been broken into. Again. That's probably the 6th or 7th time now 
0,Ugh it's APRIL not DECEMBER there should NOT be snow on the ground &amp
0,i have a stuffy nose 
0,@xxandip i missed it too - v.upset  katie xx
0,had planned to go to Miami but Christina changed her mind! don't want to stay in Greece for Easter 
0,"No, i can't believe I just wrote that. The reason why she couldn't make it was: Her neighbor shot himself yesterday. OMG! Rest In peace. "
0,"Kelly Good morning fellow tweets, there is allot of spamers on here.  but thats ok, I'll just get rid of them. http://ff.im/1Y9yn"
0,"Nneka, this is useless. what is Twitters point? like i don't even know if you can message people.. mehh "
